company_name,domain,website_url,category,subcategory,description,year_founded,hq_city,hq_state,hq_country,founders,current_ceo,employee_range,funding_status,parent_company,linkedin_url,twitter_handle,instagram_handle,facebook_handle,phone,generic_email,email_pattern,status,notes
Snap Kitchen,snapkitchen.com,https://www.snapkitchen.com,Prepared Meal,Healthy,Macro-friendly chef-prepared meals,2010,Austin,TX,USA,Martin Berson,Mike Liporace,200-500,Private (VC),Independent,https://www.linkedin.com/company/snap-kitchen,@snapkitchen,@snapkitchen,@snapkitchen,512-298-9100,care@snapkitchen.com,first.last@snapkitchen.com,Active,
Daily Harvest,dailyharvest.com,https://www.daily-harvest.com,Prepared Meal,Plant-Based/Frozen,Frozen smoothies/bowls/meals (plant-based),2015,New York,NY,USA,Rachel Drori,Rachel Drori,200-500,Private (Series D),Independent,https://www.linkedin.com/company/daily-harvest,@DailyHarvest,@dailyharvest,@dailyharvest,888-302-3676,hello@daily-harvest.com,first@daily-harvest.com,Active,
Tovala,tovala.com,https://www.tovala.com,Prepared Meal,Smart-Appliance,Smart oven + chef-crafted meal subscription,2015,Chicago,IL,USA,"David Rabie; Bryan Wilcox",David Rabie,100-500,Private (Series D),Independent,https://www.linkedin.com/company/tovala,@Tovala,@tovala,@tovala,855-868-2522,help@tovala.com,first@tovala.com,Active,
Splendid Spoon,splendidspoon.com,https://splendidspoon.com,Prepared Meal,Plant-Based,Plant-based soups/smoothies/bowls,2013,Brooklyn,NY,USA,Nicole Centeno,Nicole Centeno,50-100,Private (VC),Independent,https://www.linkedin.com/company/splendid-spoon,@splendidspoon,@splendid_spoon,@splendidspoon,718-841-3343,hello@splendidspoon.com,first@splendidspoon.com,Active,
Magic Kitchen,magickitchen.com,https://www.magickitchen.com,Prepared Meal,Senior/Medical,Frozen prepared meals + senior/medical diets,2005,Burlingame,CA,USA,Greg Miller,Greg Miller,50-100,Private,Independent,https://www.linkedin.com/company/magic-kitchen,@magickitchen,@magickitchencom,@MagicKitchen,877-516-2442,info@magickitchen.com,first@magickitchen.com,Active,
Mosaic Foods,mosaicfoods.com,https://www.mosaicfoods.com,Prepared Meal,Plant-Based/Frozen,Family-size plant-based frozen meals,2018,New York,NY,USA,"Aaron Cohen; Matt Davis",Aaron Cohen,50-200,Private (Series A),Independent,https://www.linkedin.com/company/mosaicfoods,@mosaicfoods,@mosaicfoods,@mosaicfoods,718-313-1112,hello@mosaicfoods.com,first@mosaicfoods.com,Active,
Veestro,veestro.com,https://www.veestro.com,Prepared Meal,Vegan,100% plant-based frozen meals,2012,Los Angeles,CA,USA,"Mark Fachler; Monica Klausner",Mark Fachler,50-100,Private,Independent,https://www.linkedin.com/company/veestro,@veestro,@veestro,@veestro,310-928-7150,hello@veestro.com,first@veestro.com,Active,
Sakara Life,sakara.com,https://www.sakara.com,Prepared Meal,Plant-Based/Luxury,Organic plant-rich ready-to-eat meal program,2012,New York,NY,USA,"Whitney Tingle; Danielle DuBoise",Whitney Tingle,50-200,Private (Series B),Independent,https://www.linkedin.com/company/sakara-life,@sakaralife,@sakaralife,@sakaralife,844-472-5272,help@sakara.com,first@sakara.com,Active,
ModifyHealth,modifyhealth.com,https://www.modifyhealth.com,Prepared Meal,Medically-Tailored,FODMAP/Mediterranean/medically-tailored meals,2019,Atlanta,GA,USA,John Whelan,John Whelan,50-100,Private (Seed/A),Independent,https://www.linkedin.com/company/modifyhealth,@modifyhealth,@modifyhealth,@modifyhealth,888-665-5202,hello@modifyhealth.com,first@modifyhealth.com,Active,
Territory Foods,territoryfoods.com,https://www.territoryfoods.com,Prepared Meal,Healthy/Local,Chef-driven dietitian-designed meals delivered fresh,2011,Bethesda,MD,USA,Patrick Smith,Ellis McCue,100-500,Private (Series B),Independent,https://www.linkedin.com/company/territory-foods,@TerritoryFoods,@territoryfoods,@territoryfoods,888-721-1170,hello@territoryfoods.com,first@territoryfoods.com,Active,Formerly Power Supply
Fresh n Lean,freshnlean.com,https://www.freshnlean.com,Prepared Meal,Healthy,Organic prepared meals - protein/keto/vegan/paleo plans,2010,Anaheim,CA,USA,Laureen Asseo,Laureen Asseo,200-500,Private,Independent,https://www.linkedin.com/company/fresh-n-lean,@freshnlean,@freshnlean,@freshnlean,888-885-0918,info@freshnlean.com,first@freshnlean.com,Active,
Thistle,thistle.co,https://www.thistle.co,Prepared Meal,Plant-Forward,Plant-forward ready-to-eat meals,2013,San Francisco,CA,USA,"Ashwin Cheriyan; Shiri Avnery",Ashwin Cheriyan,100-500,Private (Series B),Independent,https://www.linkedin.com/company/thistle,@thistle,@thistle,@thistle,415-200-2837,hello@thistle.co,first@thistle.co,Active,
Methodology,gomethodology.com,https://www.gomethodology.com,Prepared Meal,Premium/Healthy,Functional medicine-inspired meals in glass jars,2014,San Francisco,CA,USA,Julie Nguyen,Julie Nguyen,20-50,Private,Independent,https://www.linkedin.com/company/methodology,@gomethodology,@gomethodology,@gomethodology,415-855-5638,hello@gomethodology.com,first@gomethodology.com,Active,
Clean Eatz Kitchen,cleaneatzkitchen.com,https://www.cleaneatzkitchen.com,Prepared Meal,Healthy,Affordable healthy prepared meals nationwide,2011,Wilmington,NC,USA,"Don Varady; Evonne Varady",Don Varady,100-500,Private,Clean Eatz LLC,https://www.linkedin.com/company/clean-eatz,@cleaneatz,@cleaneatz,@cleaneatz,910-660-5500,help@cleaneatz.com,first@cleaneatz.com,Active,Franchise + meal-delivery hybrid
Petes Real Food,petesrealfood.com,https://petesrealfood.com,Prepared Meal,Paleo,Chef-prepared paleo meals,2012,San Diego,CA,USA,Pete Servold,Pete Servold,20-50,Private,Independent,https://www.linkedin.com/company/petes-real-food,@petespaleo,@petesrealfood,@petesrealfood,619-754-1115,info@petesrealfood.com,first@petesrealfood.com,Active,Formerly Petes Paleo
Diet-to-Go,diettogo.com,https://www.diettogo.com,Prepared Meal,Weight-Loss,Calorie-controlled meal plans (Balance/Keto/Vegetarian),1991,Lorton,VA,USA,Hilton Davis,Hilton Davis,100-500,Private,Independent,https://www.linkedin.com/company/diet-to-go,@diettogo,@diettogo,@diettogo,800-743-7546,service@diettogo.com,first.last@diettogo.com,Active,One of the original meal delivery players
BistroMD,bistromd.com,https://www.bistromd.com,Prepared Meal,Weight-Loss,Physician-designed weight loss meals,2005,Jacksonville,FL,USA,Caroline Cederquist,Ed Cederquist,50-200,Private,Independent,https://www.linkedin.com/company/bistromd,@bistroMD,@bistromd,@bistroMD,866-401-3438,care@bistromd.com,first.last@bistromd.com,Active,
Silver Cuisine,silver.bistromd.com,https://silver.bistromd.com,Prepared Meal,Senior,A la carte heat-and-eat meals for 50+ market,2014,Jacksonville,FL,USA,Caroline Cederquist,Ed Cederquist,50-200,Subsidiary,BistroMD,https://www.linkedin.com/company/bistromd,@silvercuisine,@silvercuisine,@silvercuisine,866-756-6745,care@silver.bistromd.com,first.last@bistromd.com,Active,Sub-brand of BistroMD
Nutrisystem,nutrisystem.com,https://www.nutrisystem.com,Prepared Meal,Weight-Loss,Portion-controlled weight-loss program,1972,Fort Washington,PA,USA,Harold Katz,Wendy McCann,500-1000,Acquired,Wellful Inc (Kainos Capital),https://www.linkedin.com/company/nutrisystem,@nutrisystem,@nutrisystem,@nutrisystem,800-585-5483,consumeraffairs@nutrisystem.com,first.last@nutrisystem.com,Active,Wellful is the parent
Jenny Craig,jennycraig.com,https://www.jennycraig.com,Prepared Meal,Weight-Loss,Weight loss meal program (relaunched),1983,Carlsbad,CA,USA,"Jenny Craig; Sid Craig",Wendy McCann,100-500,Relaunched (2023),Wellful Inc,https://www.linkedin.com/company/jenny-craig,@jennycraig,@jennycraighq,@JennyCraig,800-536-6922,help@jennycraig.com,first.last@jennycraig.com,Active,Closed May 2023; brand relaunched under Wellful
Moms Meals,momsmeals.com,https://www.momsmeals.com,Prepared Meal,Senior/Medical,Medicare-supported home-delivered meals for seniors/chronic conditions,1999,Ankeny,IA,USA,Mike Wilson,Charles Coleman,1000-5000,Private,Purfoods LLC,https://www.linkedin.com/company/mom-s-meals,@momsmeals,@momsmeals,@momsmealsiowa,866-971-6667,info@momsmeals.com,first.last@momsmeals.com,Active,Largest medically-tailored meals provider
Real Eats,realeats.com,https://realeats.com,Prepared Meal,Sous-Vide,Sous-vide chef-prepared meals,2016,Geneva,NY,USA,Dan Wise,Dan Wise,50-100,Private (Series A),Independent,https://www.linkedin.com/company/real-eats-america,@realeats,@realeats,@realeats,866-820-2126,hello@realeats.com,first@realeats.com,Active,
Icon Meals,iconmeals.com,https://www.iconmeals.com,Prepared Meal,Fitness/Macro,Bodybuilder/macro-focused prepared meals,2013,Frisco,TX,USA,Todd Abrams,Todd Abrams,50-100,Private,Independent,https://www.linkedin.com/company/icon-meals,@iconmeals,@iconmeals,@iconmeals,855-558-4266,info@iconmeals.com,first@iconmeals.com,Active,
Eat Clean Bro,eatcleanbro.com,https://eatcleanbro.com,Prepared Meal,Fitness,Macro-friendly chef prepared meals (Northeast focus),2013,Freehold,NJ,USA,Jamie Giovinazzo,Jamie Giovinazzo,50-100,Private,Independent,https://www.linkedin.com/company/eat-clean-bro,@eatcleanbro,@eatcleanbro,@eatcleanbro,732-994-3034,info@eatcleanbro.com,first@eatcleanbro.com,Active,
The Good Kitchen,thegoodkitchen.com,https://www.thegoodkitchen.com,Prepared Meal,Paleo/Whole30,Whole30/paleo-friendly prepared meals,2010,Concord,NC,USA,Marisa Paolillo,Marisa Paolillo,20-50,Private,Independent,https://www.linkedin.com/company/the-good-kitchen,@thegoodkitchen,@the_goodkitchen,@thegoodkitchen,704-918-2989,info@thegoodkitchen.com,first@thegoodkitchen.com,Active,
Healthy Chef Creations,healthychefcreations.com,https://www.healthychefcreations.com,Prepared Meal,Customizable,Made-to-order chef-prepared meals,2002,Maitland,FL,USA,Robin Shea,Robin Shea,20-50,Private,Independent,https://www.linkedin.com/company/healthy-chef-creations,@healthychefcreations,@healthychefcreations,@HealthyChefCreations,407-705-3331,info@healthychefcreations.com,first@healthychefcreations.com,Active,
Personal Trainer Food,personaltrainerfood.com,https://www.personaltrainerfood.com,Prepared Meal,Weight-Loss,Frozen weight-loss meals,2009,McKinney,TX,USA,Frank Bonacquisti,Frank Bonacquisti,20-50,Private,Independent,https://www.linkedin.com/company/personal-trainer-food,@personaltrainerfood,@personaltrainerfood,@PersonalTrainerFood,800-273-1686,info@personaltrainerfood.com,first@personaltrainerfood.com,Active,
Paleo on the Go,paleoonthego.com,https://paleoonthego.com,Prepared Meal,Paleo/AIP,Paleo and AIP frozen meals,2013,Tampa,FL,USA,Stephen Steineker,Stephen Steineker,20-50,Private,Independent,https://www.linkedin.com/company/paleo-on-the-go,@paleoonthego,@paleoonthego,@paleoonthego,855-768-2536,hello@paleoonthego.com,first@paleoonthego.com,Active,
Plantable,plantable.com,https://plantable.com,Prepared Meal,Plant-Based,Plant-based coaching + meal program,2015,New York,NY,USA,Nadja Pinnavaia,Nadja Pinnavaia,20-50,Private (Seed),Independent,https://www.linkedin.com/company/plantable,@beplantable,@plantable,@plantable,212-201-2350,hello@plantable.com,first@plantable.com,Active,
22 Days Nutrition,22daysnutrition.com,https://22daysnutrition.com,Prepared Meal,Vegan,Plant-based meal delivery (Marco Borges/Beyonce backed),2009,Miami,FL,USA,Marco Borges,Marco Borges,20-50,Private,Independent,https://www.linkedin.com/company/22-days-nutrition,@22DaysNutrition,@22daysnutrition,@22DaysNutrition,888-679-0531,info@22daysnutrition.com,first@22daysnutrition.com,Active,
Sprinly,sprinly.com,https://www.sprinly.com,Prepared Meal,Vegan/Organic,Organic plant-based prepared meals,2017,Pittsburgh,PA,USA,Doug Bouton,Doug Bouton,20-50,Private,Independent,https://www.linkedin.com/company/sprinly,@sprinly,@sprinly,@sprinly,N/A,hello@sprinly.com,first@sprinly.com,Active,
MamaSezz,mamasezz.com,https://www.mamasezz.com,Prepared Meal,Plant-Based,Whole-food plant-based ready-to-eat,2015,Brattleboro,VT,USA,"Lisa Stockwell; Meg Donahue",Meg Donahue,10-50,Private,Independent,https://www.linkedin.com/company/mamasezz,@mamasezz,@mamasezz,@mamasezz,802-579-1209,hello@mamasezz.com,first@mamasezz.com,Active,
Provenance Meals,provenancemeals.com,https://www.provenancemeals.com,Prepared Meal,Functional/Premium,Functional medicine-inspired premium meals,2013,New York,NY,USA,Caroll Lee,Caroll Lee,20-50,Private,Independent,https://www.linkedin.com/company/provenance-meals,@provenancemeals,@provenancemeals,@provenancemeals,646-580-8772,info@provenancemeals.com,first@provenancemeals.com,Active,
Yumble Kids,yumblekids.com,https://www.yumblekids.com,Prepared Meal,Kids,Pre-made kids meals,2016,New York,NY,USA,"Joanna Parker; David Parker",N/A,0,Defunct (2023),Independent,https://www.linkedin.com/company/yumble,@yumblekids,@yumblekids,@yumblekids,N/A,N/A,N/A,Defunct,Shut down 2023
Little Spoon,littlespoon.com,https://www.littlespoon.com,Prepared Meal,Baby/Toddler,Fresh baby food + toddler meals,2017,New York,NY,USA,"Lisa Barnett; Angela Vranich; Michelle Muller",Ben Lewis,100-500,Private (Series B),Independent,https://www.linkedin.com/company/little-spoon,@littlespoon,@littlespoon,@littlespoon,646-893-7166,hello@littlespoon.com,first@littlespoon.com,Active,
Nurture Life,nurturelife.com,https://www.nurturelife.com,Prepared Meal,Kids,Organic ready-to-eat kids meals,2014,Chicago,IL,USA,"Steve Magida; Jennifer Chow",Steve Magida,50-100,Private,Independent,https://www.linkedin.com/company/nurture-life,@nurturelifefood,@nurturelife,@NurtureLife,773-360-1740,hello@nurturelife.com,first@nurturelife.com,Active,
Tiny Organics,tinyorganics.com,https://www.tinyorganics.com,Prepared Meal,Baby/Toddler,Plant-forward toddler meals,2018,New York,NY,USA,"Sofia Laurell; Betsy Fore",Betsy Fore,20-50,Private (Series A),Independent,https://www.linkedin.com/company/tiny-organics,@tinyorganics,@tinyorganics,@tinyorganics,888-525-8469,hello@tinyorganics.com,first@tinyorganics.com,Active,
Plated,plated.com,https://www.plated.com,Meal Kit,General,Chef-designed meal kits,2012,New York,NY,USA,"Nick Taranto; Josh Hix",N/A,0,Defunct (2019),Albertsons,https://www.linkedin.com/company/plated,@platedhq,@platedhq,@platedhq,N/A,N/A,N/A,Defunct,Acquired by Albertsons 2017; shut down 2019
Munchery,munchery.com,https://munchery.com,Prepared Meal,On-Demand,On-demand prepared meals,2010,San Francisco,CA,USA,"Tri Tran; Conrad Chu",N/A,0,Defunct (2019),Independent,https://www.linkedin.com/company/munchery,@munchery,@munchery,@munchery,N/A,N/A,N/A,Defunct,
Sprig,sprig.com,N/A,Prepared Meal,On-Demand,On-demand healthy meals,2013,San Francisco,CA,USA,Gagan Biyani,N/A,0,Defunct (2017),Independent,https://www.linkedin.com/company/sprig,@eatsprig,@eatsprig,@eatsprig,N/A,N/A,N/A,Defunct,
Chefd,chefd.com,N/A,Meal Kit,General,Single-meal kit marketplace,2014,El Segundo,CA,USA,Kyle Ransford,N/A,0,Defunct (2018),Independent,https://www.linkedin.com/company/chefd,@chefd,@chefd,@chefd,N/A,N/A,N/A,Defunct,Briefly resurrected; ceased
Kettlebell Kitchen,kettlebellkitchen.com,N/A,Prepared Meal,Fitness,Fitness/paleo prepared meals,2012,Long Island City,NY,USA,Joe Lopez,N/A,0,Defunct (2018),Independent,https://www.linkedin.com/company/kettlebell-kitchen,@kettlebellkitch,@kettlebellkitchen,@KettlebellKitchen,N/A,N/A,N/A,Defunct,
Wonder,wonder.com,https://www.wonder.com,Hybrid,Multi-restaurant,Vertically-integrated meal platform (acquired Blue Apron and Grubhub),2018,New York,NY,USA,Marc Lore,Marc Lore,1000-5000,Private (Series C),Independent,https://www.linkedin.com/company/wonder,@wonder,@wonder,@wonder,917-261-2210,hello@wonder.com,first.last@wonder.com,Active,Owns Blue Apron + Grubhub
Grubhub,grubhub.com,https://www.grubhub.com,Restaurant Delivery,Aggregator,Restaurant ordering and delivery marketplace,2004,Chicago,IL,USA,"Matt Maloney; Mike Evans",Howard Migdal,5000+,Acquired (2025),Wonder Group,https://www.linkedin.com/company/grubhub,@grubhub,@grubhub,@grubhub,877-585-1085,info@grubhub.com,first.last@grubhub.com,Active,Acquired by Wonder Jan 2025
Seamless,seamless.com,https://www.seamless.com,Restaurant Delivery,Aggregator,NYC-focused restaurant ordering,1999,New York,NY,USA,"Jason Finger; Paul Appelbaum; Andy Appelbaum; Todd Arky",Howard Migdal,500-1000,Subsidiary,Grubhub (Wonder),https://www.linkedin.com/company/seamless,@Seamless,@seamless,@seamless,800-727-9457,info@seamless.com,first.last@grubhub.com,Active,Brand of Grubhub
DoorDash,doordash.com,https://www.doordash.com,Restaurant Delivery,Aggregator,Largest US restaurant delivery platform,2013,San Francisco,CA,USA,"Tony Xu; Stanley Tang; Andy Fang; Evan Moore",Tony Xu,10000+,Public (NYSE: DASH),Independent,https://www.linkedin.com/company/doordash,@DoorDash,@doordash,@doordash,855-973-1040,help@doordash.com,first.last@doordash.com,Active,
Uber Eats,ubereats.com,https://www.ubereats.com,Restaurant Delivery,Aggregator,Restaurant delivery arm of Uber,2014,San Francisco,CA,USA,Travis Kalanick,Pierre-Dimitri Gore-Coty,10000+,Subsidiary,Uber Technologies (NYSE: UBER),https://www.linkedin.com/company/ubereats,@UberEats,@ubereats,@ubereats,800-253-9377,support@ubereats.com,first.last@uber.com,Active,
Postmates,postmates.com,https://postmates.com,Restaurant Delivery,Aggregator,On-demand delivery (food + goods),2011,San Francisco,CA,USA,"Bastian Lehmann; Sean Plaice; Sam Street",Pierre-Dimitri Gore-Coty,1000-5000,Acquired (2020),Uber Technologies,https://www.linkedin.com/company/postmates,@Postmates,@postmates,@postmates,N/A,help@postmates.com,first.last@postmates.com,Active,Sub-brand of Uber
Caviar,trycaviar.com,https://www.trycaviar.com,Restaurant Delivery,Premium,Premium restaurant delivery,2012,San Francisco,CA,USA,"Jason Wang; Andy Zhang; Sei Chun",Tony Xu,500-1000,Acquired (2019),DoorDash,https://www.linkedin.com/company/caviar,@trycaviar,@trycaviar,@trycaviar,855-967-1727,help@trycaviar.com,first.last@doordash.com,Active,
ChowNow,chownow.com,https://www.chownow.com,Restaurant Tech,Direct Ordering,Commission-free direct ordering for restaurants,2011,Playa Vista,CA,USA,"Christopher Webb; Eric Jaffe",Christopher Webb,200-500,Private (Series C),Independent,https://www.linkedin.com/company/chownow,@chownow,@chownow,@chownow,888-707-2469,hello@chownow.com,first.last@chownow.com,Active,
Slice,slicelife.com,https://slicelife.com,Restaurant Delivery,Pizza,Independent pizza marketplace,2010,New York,NY,USA,Ilir Sela,Ilir Sela,500-1000,Private (Series E),Independent,https://www.linkedin.com/company/slicelife,@slicelife,@slicelife,@slicelife,855-728-9462,support@slicelife.com,first.last@slicelife.com,Active,
Toast Takeout,pos.toasttab.com,https://pos.toasttab.com/products/online-ordering,Restaurant Tech,Direct Ordering,Commission-free direct ordering app,2017,Boston,MA,USA,"Aman Narang; Steve Fredette; Jonathan Grimm",Aman Narang,5000+,Subsidiary,Toast Inc (NYSE: TOST),https://www.linkedin.com/company/toast-inc,@ToastTab,@toasttab,@toasttab,617-682-0225,support@toasttab.com,first.last@toasttab.com,Active,
FreshDirect,freshdirect.com,https://www.freshdirect.com,Grocery Delivery,Online Grocery,NYC-area online grocery with prepared meals,1999,Bronx,NY,USA,"Joseph Fedele; Jason Ackerman",Howard Schacter,1000-5000,Private,Ownership group (2024),https://www.linkedin.com/company/freshdirect,@FreshDirect,@freshdirect,@freshdirect,866-283-7374,help@freshdirect.com,first.last@freshdirect.com,Active,Getir exited US 2024
Misfits Market,misfitsmarket.com,https://www.misfitsmarket.com,Grocery Delivery,Online Grocery,Affordable organic groceries (acquired Imperfect Foods),2018,Delanco,NJ,USA,Abhi Ramesh,Abhi Ramesh,500-1000,Private (Series C),Independent,https://www.linkedin.com/company/misfits-market,@misfitsmarket,@misfitsmarket,@misfitsmarket,N/A,care@misfitsmarket.com,first@misfitsmarket.com,Active,
Imperfect Foods,imperfectfoods.com,https://www.imperfectfoods.com,Grocery Delivery,Online Grocery,Sustainable groceries (rescued food),2015,San Francisco,CA,USA,"Ben Simon; Ben Chesler",Abhi Ramesh,500-1000,Acquired (2022),Misfits Market,https://www.linkedin.com/company/imperfect-foods,@imperfectfoods,@imperfectfoods,@imperfectfoods,510-595-6683,help@imperfectfoods.com,first@imperfectfoods.com,Active,
Thrive Market,thrivemarket.com,https://thrive-market.com,Grocery Delivery,Online Grocery,Membership-based natural groceries,2014,Los Angeles,CA,USA,"Nick Green; Gunnar Lovelace; Sasha Siddhartha; Kate Mulling",Nick Green,500-1000,Private (Series C),Independent,https://www.linkedin.com/company/thrive-market,@thrivemarket,@thrivemarket,@thrivemarket,866-419-2174,help@thrivemarket.com,first.last@thrivemarket.com,Active,
Good Eggs,goodeggs.com,https://www.goodeggs.com,Grocery Delivery,Online Grocery,Bay Area online grocery,2011,Oakland,CA,USA,"Rob Spiro; Alon Salant",Bentley Hall,200-500,Acquired (2024),GrubMarket,https://www.linkedin.com/company/good-eggs,@goodeggs,@goodeggs,@goodeggs,415-993-3344,support@goodeggs.com,first@goodeggs.com,Active,Acquired by GrubMarket 2024
Instacart,instacart.com,https://www.instacart.com,Grocery Delivery,Aggregator,On-demand grocery delivery platform,2012,San Francisco,CA,USA,"Apoorva Mehta; Max Mullen; Brandon Leonardo",Fidji Simo,3000+,Public (NASDAQ: CART),Independent,https://www.linkedin.com/company/instacart,@Instacart,@instacart,@instacart,888-246-7822,help@instacart.com,first.last@instacart.com,Active,
Shipt,shipt.com,https://www.shipt.com,Grocery Delivery,Aggregator,Same-day grocery delivery,2014,Birmingham,AL,USA,Bill Smith,Kamau Witherspoon,1000-5000,Acquired (2017),Target Corporation,https://www.linkedin.com/company/shipt,@Shipt,@shipt,@shipt,205-502-2500,help@shipt.com,first.last@shipt.com,Active,
